instance,seed,objective,upper_bound,gap,route_time_h,iterations,wall_seconds
m2n20Q10s000c2,0,30,33,0.1,7.492,1318,300.4
m2n20Q10s000c2,1,30,33,0.1,7.492,1410,300.0
m2n20Q10s000c2,2,30,33,0.1,7.492,1347,300.1
m2n20Q10s000c2,3,30,33,0.1,7.492,1377,300.0
m2n20Q10s000c2,4,30,33,0.1,7.492,1414,300.1
m2n20Q20s000c2,0,37,37,0.0,7.855,2908,300.0
m2n20Q20s000c2,1,37,37,0.0,7.855,2933,300.0
m2n20Q20s000c2,2,37,37,0.0,7.855,2945,300.1
m2n20Q20s000c2,3,37,37,0.0,7.855,3009,300.0
m2n20Q20s000c2,4,37,37,0.0,7.855,3042,300.0
m2n30Q10s000c2,0,55,60,0.0909,7.934,2071,300.1
m2n30Q10s000c2,1,55,60,0.0909,7.867,1532,300.2
m2n30Q10s000c2,2,57,60,0.0526,7.974,1808,300.0
m2n30Q10s000c2,3,57,60,0.0526,7.974,1841,300.0
m2n30Q10s000c2,4,57,60,0.0526,7.974,1833,300.0
m2n30Q20s000c2,0,60,61,0.0167,7.59,1551,300.1
m2n30Q20s000c2,1,60,61,0.0167,7.982,2485,300.0
m2n30Q20s000c2,2,60,61,0.0167,7.839,1826,300.0
m2n30Q20s000c2,3,60,61,0.0167,7.839,1872,300.1
m2n30Q20s000c2,4,60,61,0.0167,7.59,1525,300.1
